capture_datetime,match_datetime,stage,match_id,home_team,away_team,p_home,p_draw,p_away,ou_line,p_over,p_under,cs_pred_home,cs_pred_away,cs_pred_odds,notes
2026-06-29T22:57:30-04:00,2026-06-30T17:00:00-04:00,R32,R32-FRA-SWE,France,Sweden,0.7813,0.1600,0.1053,3.5,0.4444,0.5882,2,0,7.00,Round of 32 shadow (1=1.28 X=6.25 2=9.50; O3.5=2.25 U3.5=1.70; cs 2:0@7.00 lowest)
2026-06-29T22:58:00-04:00,2026-06-30T21:00:00-04:00,R32,R32-MEX-ECU,Mexico,Ecuador,0.4444,0.3390,0.2564,2.5,0.3333,0.6993,1,0,5.00,Round of 32 shadow (1=2.25 X=2.95 2=3.90; O2.5=3 U2.5=1.43; cs 1:0@5.00 lowest)
2026-06-30T23:28:00-04:00,2026-07-01T12:00:00-04:00,R32,R32-ENG-COD,England,DR Congo,0.7692,0.2000,0.0667,2.5,0.5000,0.5405,2,0,4.75,Round of 32 shadow (1=1.30 X=5 2=15; O2.5=2 U2.5=1.85; cs 2:0@4.75 lowest)
2026-06-30T23:29:00-04:00,2026-07-01T16:00:00-04:00,R32,R32-BEL-SEN,Belgium,Senegal,0.4762,0.3030,0.2564,2.5,0.5000,0.5405,1,1,5.50,Round of 32 shadow (1=2.10 X=3.30 2=3.90; O2.5=2 U2.5=1.85; cs 1:1@5.50 lowest)
2026-06-30T23:29:30-04:00,2026-07-01T20:00:00-04:00,R32,R32-USA-BIH,USA,Bosnia,0.7143,0.2000,0.1176,2.5,0.5714,0.4762,2,0,6.25,Round of 32 shadow (1=1.40 X=5 2=8.50; O2.5=1.75 U2.5=2.10; cs 2:0@6.25 lowest)
2026-07-01T20:54:00-04:00,2026-07-02T15:00:00-04:00,R32,R32-ESP-AUT,Spain,Austria,0.7407,0.1905,0.1053,2.5,0.5714,0.4762,2,0,5.75,Round of 32 shadow (1=1.35 X=5.25 2=9.50; O2.5=1.75 U2.5=2.10; cs 2:0@5.75 lowest)
2026-07-01T20:55:00-04:00,2026-07-02T19:00:00-04:00,R32,R32-POR-CRO,Portugal,Croatia,0.5714,0.2632,0.2000,2.5,0.5319,0.5128,1,1,6.25,Round of 32 shadow (1=1.75 X=3.80 2=5; O2.5=1.88 U2.5=1.95; cs 1:1@6.25 lowest)
2026-07-01T20:56:00-04:00,2026-07-02T23:00:00-04:00,R32,R32-CHE-ALG,Switzerland,Algeria,0.4878,0.3125,0.2564,2.5,0.4878,0.5814,1,1,5.50,Round of 32 shadow (1=2.05 X=3.20 2=3.90; O2.5=2.05 U2.5=1.72; cs 1:1@5.50 lowest)
2026-07-02T22:37:00-04:00,2026-07-03T14:00:00-04:00,R32,R32-AUS-EGY,Australia,Egypt,0.3030,0.3279,0.4082,2.5,0.3509,0.6897,1,1,5.25,Round of 32 shadow (1=3.30 X=3.05 2=2.45; O2.5=2.85 U2.5=1.45; cs 1:1@5.25 lowest)
2026-07-02T22:37:30-04:00,2026-07-03T18:00:00-04:00,R32,R32-ARG-CPV,Argentina,Cape Verde,0.8621,0.1333,0.0500,2.5,0.6173,0.4255,2,0,5.00,Round of 32 shadow (1=1.16 X=7.50 2=20; O2.5=1.62 U2.5=2.35; cs 2:0@5.00 lowest)
2026-07-02T22:38:00-04:00,2026-07-03T21:30:00-04:00,R32,R32-COL-GHA,Colombia,Ghana,0.7143,0.2353,0.1000,2.5,0.4545,0.5814,1,0,4.75,Round of 32 shadow (1=1.40 X=4.25 2=10; O2.5=2.20 U2.5=1.72; cs 1:0@4.75 lowest)
2026-07-03T23:59:00-04:00,2026-07-04T13:00:00-04:00,R16,R16-CAN-MAR,Canada,Morocco,0.2222,0.2941,0.5263,2.5,0.4444,0.5882,0,1,5.75,Round of 16 shadow (1=4.50 X=3.40 2=1.90; O2.5=2.25 U2.5=1.70; cs TIE 0:1 and 1:1 both @5.75 — took 0:1 Morocco away win since 2 shorter than X)
2026-07-04T00:00:00-04:00,2026-07-04T17:00:00-04:00,R16,R16-PAR-FRA,Paraguay,France,0.0556,0.1429,0.8475,2.5,0.6173,0.4255,0,2,5.25,Round of 16 shadow (1=18 X=7 2=1.18; O2.5=1.62 U2.5=2.35; cs 0:2@5.25 lowest)
